id;timestamp;cpu;ram;disco;usoRede;latencia;qtd_processos
C0D001;2025-10-01 12:46:26;16.5;71.1;90.19;0.0;0.008;270
C0D001;2025-10-01 12:46:36;11.0;71.1;85.16;0.11;0.05;270
C0D001;2025-10-01 12:46:46;11.8;71.0;85.81;0.06;0.01;270
C0D001;2025-10-01 12:46:56;10.0;70.9;75.41;0.29;0.016;270
C0D001;2025-10-01 12:47:06;8.6;70.9;84.49;0.84;0.012;269
C0D001;2025-10-01 12:47:16;10.0;70.1;79.55;0.89;0.006;268
C0D001;2025-10-01 12:47:26;9.4;69.7;80.82;1.46;0.018;268
C0D001;2025-10-01 12:47:36;8.6;69.6;85.97;1.62;0.002;268
C0D001;2025-10-01 12:47:46;10.7;69.6;90.57;1.5;0.01;268
C0D001;2025-10-01 12:47:56;11.7;69.1;75.94;0.95;0.006;267
C0D001;2025-10-01 12:48:06;9.9;69.1;79.81;1.11;0.034;267
C0D001;2025-10-01 12:48:16;9.4;69.1;79.01;1.1;0.016;267
C0D001;2025-10-01 12:48:26;8.9;68.7;94.12;1.47;0.006;267
C0D001;2025-10-01 12:48:36;10.3;68.6;81.32;2.86;0.014;267
C0D001;2025-10-01 12:48:46;10.7;68.6;82.55;1.55;0.004;267
C0D001;2025-10-01 12:48:56;12.2;68.5;83.26;1.28;0.006;267
C0D001;2025-10-01 12:49:06;20.1;69.0;83.31;0.14;0.006;271
C0D001;2025-10-01 12:49:16;12.6;69.1;85.78;0.03;0.005;271
C0D001;2025-10-01 12:49:26;15.7;69.2;83.49;0.02;0.002;272
C0D001;2025-10-01 12:49:36;17.3;69.3;86.61;0.32;0.014;272
C0D001;2025-10-01 12:49:47;10.2;69.2;93.4;0.04;0.008;272
C0D001;2025-10-01 12:49:57;7.7;69.2;89.56;0.04;0.014;271
C0D001;2025-10-01 12:50:07;8.8;69.2;89.16;0.47;0.006;270
C0D001;2025-10-01 12:50:17;10.0;69.1;86.91;0.03;0.004;270
C0D001;2025-10-01 12:50:27;11.1;69.1;89.1;0.02;0.006;270
C0D001;2025-10-01 12:50:37;11.2;69.1;91.0;0.1;0.016;269
C0D001;2025-10-01 12:50:47;11.7;69.1;85.51;0.03;0.006;269
C0D001;2025-10-01 12:50:57;11.3;69.2;83.56;0.01;0.005;269
C0D001;2025-10-01 12:51:07;14.3;69.1;75.01;0.04;0.087;267
C0D001;2025-10-01 12:51:17;12.8;69.1;83.75;0.04;0.008;267
C0D001;2025-10-01 12:51:27;13.2;69.2;87.63;0.04;0.004;266
C0D001;2025-10-01 12:51:37;15.4;69.6;84.05;0.12;0.002;266
C0D001;2025-10-01 12:51:47;18.3;70.2;95.0;0.02;0.003;267
C0D001;2025-10-01 12:51:57;11.5;70.1;79.95;0.03;0.004;267
C0D001;2025-10-01 12:52:07;11.4;70.2;91.56;0.4;0.003;267
C0D001;2025-10-01 12:52:17;11.3;70.4;89.98;0.09;0.003;268
C0D001;2025-10-01 12:52:27;15.2;70.8;75.21;0.04;0.005;268
C0D001;2025-10-01 12:52:37;12.2;70.8;82.57;0.04;0.01;268
C0D001;2025-10-01 12:52:47;9.4;70.7;79.41;0.03;0.003;268
C0D001;2025-10-01 12:52:57;8.2;70.6;95.0;0.02;0.006;267
C0D001;2025-10-01 12:53:07;14.7;70.6;81.34;0.04;0.004;267
C0D001;2025-10-01 12:53:17;7.7;70.6;87.28;0.01;0.014;267
C0D001;2025-10-01 12:53:27;8.6;70.5;90.85;0.03;0.019;267
C0D001;2025-10-01 12:53:37;8.5;70.5;85.55;0.03;0.015;267
C0D001;2025-10-01 12:53:47;9.6;70.5;86.43;0.03;0.007;267
C0D001;2025-10-01 12:53:57;10.3;70.5;84.19;0.02;0.011;267
C0D001;2025-10-01 12:54:07;8.5;70.5;87.55;0.34;0.049;267
C0D001;2025-10-01 12:54:18;11.2;70.5;91.73;0.15;0.017;267
C0D001;2025-10-01 12:54:28;9.3;70.1;85.78;1.03;0.007;267
C0D001;2025-10-01 12:54:38;10.7;70.4;81.41;27.71;0.046;271
C0D001;2025-10-01 12:54:48;9.1;70.4;89.07;2.2;0.021;271
C0D001;2025-10-01 12:54:58;9.6;70.5;87.35;0.04;0.004;271
C0D001;2025-10-01 12:55:08;12.6;70.7;85.48;0.08;0.004;275
C0D001;2025-10-01 12:55:18;7.5;70.7;91.39;0.06;0.013;275
C0D001;2025-10-01 12:55:28;8.4;70.7;88.85;0.04;0.006;275
C0D001;2025-10-01 12:55:38;7.9;70.7;91.96;0.02;0.013;275
C0D001;2025-10-01 12:55:48;8.1;70.6;87.31;0.02;0.004;272
C0D001;2025-10-01 12:55:58;10.2;70.5;88.83;0.03;0.015;272
C0D001;2025-10-01 12:56:08;10.5;70.5;91.75;0.31;0.007;271
C0D001;2025-10-01 12:56:18;9.4;69.7;88.38;0.1;0.008;270
